id	nombre	pais	region	latitud	longitud	anio_construccion	estilo_arquitectonico	tipo_material	estado_actual	visitantes_anuales	patrimonio_unesco
IRD-00001	Ale_00001	Alemania	Sajonia	54.60571	12.95394	1620	Barroco	Ladrillo	Restaurado	290457	True
IRD-00002	Ale_00002	Alemania	Baden-Wurtemberg	52.77599	14.91625	1191	Romanico	Mamposteria	Restaurado	128982	False
IRD-00003	Ale_00003	Alemania	Brandenburgo	47.05653	6.21909	1158	Medieval	Ladrillo	Restaurado	74763	False
IRD-00004	Ale_00004	Alemania	Sajonia	51.73932	6.44128	1234	Medieval	Roca	En ruinas	27778	True
IRD-00005	Ale_00005	Alemania	Baviera	54.72506	13.67977	1495	Gotico	Roca	Restaurado	130508	False
IRD-00006	Ale_00006	Alemania	Renania	54.27456	8.45841	1487	Medieval / Neogotico	Ladrillo	En ruinas	19908	False
IRD-00007	Ale_00007	Alemania	Sajonia	48.47884	15.21105	1043	Romanico	Ladrillo	En ruinas	71160	False
IRD-00008	Ale_00008	Alemania	Brandenburgo	48.56786	6.42966	1312	Medieval / Neogotico	Roca	Restaurado	82801	False
IRD-00009	Ale_00009	Alemania	Baden-Wurtemberg	54.72204	11.76683	1640	Barroco	Roca	Museo	30426	True
IRD-00010	Ale_00010	Alemania	Renania	48.59074	12.75775	1388	Medieval	Piedra y ladrillo	Restaurado	110379	False
IRD-00011	Ale_00011	Alemania	Baviera	54.31968	14.07537	1611	Renacentista	Piedra	Restaurado	19804	False
IRD-00012	Ale_00012	Alemania	Brandenburgo	54.0977	10.48604	1730	Barroco	Piedra	Parcialmente restaurado	18102	False
IRD-00013	Ale_00013	Alemania	Brandenburgo	50.95036	10.96596	1495	Gotico / Renacentista	Ladrillo	En ruinas	69597	False
IRD-00014	Ale_00014	Alemania	Hesse	51.06857	14.62188	1380	Gotico / Renacentista	Roca	En ruinas	53454	False
IRD-00015	Ale_00015	Alemania	Hesse	47.61584	8.75264	1883	Neogotico	Ladrillo	Parcialmente restaurado	32522	False
IRD-00016	Ale_00016	Alemania	Sajonia	48.49256	14.47931	1227	Medieval	Ladrillo	Restaurado	43644	False
IRD-00017	Ale_00017	Alemania	Brandenburgo	47.88042	8.16538	1720	Neogotico	Mamposteria	En ruinas	25076	False
IRD-00018	Ale_00018	Alemania	Brandenburgo	48.77686	7.13872	1601	Renacentista	Piedra y ladrillo	Restaurado	36075	False
IRD-00019	Ale_00019	Alemania	Baviera	50.23069	6.61648	1051	Romanico	Mamposteria	Restaurado	8788	False
IRD-00020	Ale_00020	Alemania	Baviera	49.13425	15.27784	1503	Renacentista	Roca	Restaurado	58307	False
IRD-00021	Ale_00021	Alemania	Brandenburgo	48.15916	10.6498	1297	Medieval / Neogotico	Mamposteria	Restaurado	15964	False
IRD-00022	Ale_00022	Alemania	Hesse	52.05845	12.01853	1339	Medieval	Piedra	Restaurado	30691	False
